Longitude,Latitude,UHI_Class
-13.27025167,8.489491667,High
-13.2702,8.489673333,High
-13.27016833,8.489798333,High
-13.27015167,8.48986,High
-13.27013333,8.489921667,High
-13.27011333,8.489981667,High
-13.269445,8.490945,High
-13.26942167,8.49104,High
-13.269405,8.491183333,High
-13.26953667,8.491606667,High
-13.26965333,8.49174,High
-13.269745,8.491811667,High
-13.14515333,8.413041667,High
-13.14564,8.41324,High
-13.14644,8.413375,High
-13.14678167,8.413388333,High
-13.14686833,8.413398333,High
-13.14695667,8.413411667,High
-13.147045,8.413423333,High
-13.14732,8.41346,High
-13.14759167,8.41348,High
-13.14767833,8.413488333,High
-13.14776667,8.413493333,High
-13.14803,8.413515,High
-13.14811833,8.413523333,High
-13.14821,8.413535,High
-13.14830167,8.413546667,High
-13.14839667,8.41356,High
-13.14914833,8.413786667,High
-13.14932333,8.413873333,High
-13.14941,8.413918333,High
-13.14949333,8.413966667,High
-13.14965333,8.414068333,High
-13.1498,8.414175,High
-13.14994,8.41429,High
-13.15000667,8.41435,High
-13.15007333,8.41441,High
-13.15025667,8.414591667,High
-13.15037667,8.414715,High
-13.15043167,8.414778333,High
-13.15054167,8.414908333,High
-13.15059333,8.414973333,High
-13.15069167,8.4151,High
-13.15074167,8.41516,High
-13.15093,8.415406667,High
-13.15116667,8.415711667,High
-13.15121833,8.415775,High
-13.15127167,8.415835,High
-13.15137333,8.415955,High
-13.15151667,8.416135,High
-13.151565,8.416193333,High
-13.15197,8.416411667,High
-13.151995,8.416395,High
-13.15213167,8.4163,High
-13.15215,8.416293333,High
-13.152165,8.416288333,High
-13.15218,8.416276667,High
-13.15227167,8.41619,High
-13.15231,8.416178333,High
-13.15233167,8.41617,High
-13.15235167,8.416161667,High
-13.152375,8.416153333,High
-13.15246833,8.416133333,High
-13.1525,8.416126667,High
-13.15253167,8.416116667,High
-13.152615,8.416086667,High
-13.15266333,8.416068333,High
-13.152685,8.416058333,High
-13.152765,8.416031667,High
-13.15278333,8.416026667,High
-13.15281167,8.416006667,High
-13.15283,8.415996667,High
-13.15288667,8.415968333,High
-13.15292833,8.41596,High
-13.15297333,8.415941667,High
-13.15299833,8.415928333,High
-13.15302,8.415921667,High
-13.153085,8.415898333,High
-13.15311333,8.41589,High
-13.15316833,8.415871667,High
-13.153195,8.41587,High
-13.153225,8.415871667,High
-13.15327833,8.415876667,High
-13.15349,8.415845,High
-13.15351167,8.415843333,High
-13.15356333,8.415836667,High
-13.15362167,8.415825,High
-13.15383333,8.415701667,High
-13.15392667,8.415253333,High
-13.15390167,8.415225,High
-13.153775,8.415048333,High
-13.15362333,8.414836667,High
-13.15340667,8.414561667,High
-13.15308,8.414163333,High
-13.15303833,8.414131667,High
-13.152345,8.413656667,High
-13.14965167,8.412441667,High
-13.14963167,8.412445,High
-13.14958667,8.412445,High
-13.14951833,8.412451667,High
-13.14950167,8.412453333,High
-13.14948833,8.412455,High
-13.14938333,8.41247,High
-13.14936667,8.412476667,High
-13.14923,8.412526667,High
-13.14808833,8.412913333,High
-13.14797333,8.41291,High
-13.14791,8.412908333,High
-13.14784333,8.412905,High
-13.14749667,8.412865,High
-13.14647167,8.41246,High
-13.14510333,8.411826667,High
-13.14467333,8.411616667,High
-13.14427667,8.411405,High
-13.14420333,8.411356667,High
-13.143815,8.410985,High
-13.14364667,8.410773333,High
-13.14360167,8.410695,High
-13.14356167,8.410611667,High
-13.14352,8.410525,High
-13.14369333,8.406236667,High
-13.14658167,8.39969,High
-13.14755167,8.399098333,High
-13.1479,8.398981667,High
-13.14819667,8.398851667,High
-13.14826833,8.398821667,High
-13.14840833,8.398763333,High
-13.150105,8.3989,High
-13.150945,8.399176667,High
-13.15126833,8.399245,High
-13.152125,8.399245,High
-13.15232667,8.399228333,High
-13.15253333,8.399213333,High
-13.15406,8.398498333,High
-13.15411,8.39842,High
-13.15455667,8.397291667,High
-13.154605,8.397123333,High
-13.15473167,8.396685,High
-13.15482,8.396416667,High
-13.15486,8.396293333,High
-13.15488,8.39623,Medium
-13.15490333,8.396166667,High
-13.15493167,8.396101667,High
-13.15506167,8.395846667,High
-13.15515833,8.395673333,High
-13.15521667,8.395578333,High
-13.15527333,8.395458333,High
-13.15534167,8.395346667,High
-13.15537,8.395298333,High
-13.15539833,8.395248333,High
-13.15546667,8.395133333,High
-13.15554667,8.395006667,High
-13.155585,8.394945,High
-13.155685,8.394763333,High
-13.15579167,8.394535,High
-13.15580333,8.394496667,High
-13.155815,8.394456667,High
-13.15594,8.393878333,High
-13.15600667,8.393858333,High
-13.15604833,8.393855,High
-13.15612667,8.393841667,High
-13.156215,8.393821667,High
-13.15632,8.393816667,High
-13.15668,8.394066667,High
-13.15679167,8.394178333,High
-13.15685,8.394238333,High
-13.15691333,8.3943,High
-13.15697667,8.394363333,High
-13.15711667,8.39449,High
-13.157185,8.394555,High
-13.15725667,8.39462,High
-13.15763667,8.394936667,High
-13.15779667,8.395056667,High
-13.15787667,8.395115,High
-13.158335,8.395488333,High
-13.15841333,8.395548333,High
-13.15908167,8.396053333,High
-13.15936167,8.39626,High
-13.15596833,8.393043333,High
-13.1559,8.392943333,High
-13.15586333,8.392875,High
-13.15584667,8.392838333,High
-13.15568833,8.392641667,High
-13.15564833,8.392583333,High
-13.15560833,8.392523333,High
-13.155565,8.39246,High
-13.15552,8.392395,High
-13.15498333,8.39151,High
-13.15495167,8.391413333,High
-13.154925,8.391315,High
-13.1549,8.391215,High
-13.15480833,8.39067,High
-13.154795,8.390553333,High
-13.15478333,8.390435,High
-13.15477,8.390318333,High
-13.15474667,8.389978333,High
-13.15472333,8.389758333,High
-13.15471333,8.389648333,High
-13.15461667,8.388505,High
-13.15459333,8.388101667,High
-13.15458833,8.388011667,High
-13.152875,8.386725,High
-13.15277667,8.386766667,High
-13.15259167,8.386851667,High
-13.15175667,8.38721,High
-13.15166,8.38725,High
-13.15156333,8.387288333,High
-13.15136833,8.387353333,High
-13.14989333,8.387663333,High
-13.14970167,8.3877,High
-13.149605,8.38772,High
-13.14907,8.387833333,High
-13.14883667,8.38787,High
-13.14879167,8.387881667,High
-13.148645,8.387931667,High
-13.14859667,8.38795,High
-13.14855167,8.38797,High
-13.14851167,8.387988333,High
-13.14847167,8.388013333,High
-13.14842833,8.388045,High
-13.14834167,8.388121667,High
-13.14826,8.388203333,High
-13.14821667,8.38825,High
-13.14817333,8.388303333,High
-13.14808167,8.38842,High
-13.14784833,8.388706667,High
-13.14776667,8.388815,High
-13.14772667,8.38887,High
-13.147685,8.38893,High
-13.14764167,8.388993333,High
-13.147495,8.389181667,High
-13.14578833,8.391433333,High
-13.14548333,8.391835,High
-13.14542833,8.39191,High
-13.14511167,8.392381667,High
-13.14205167,8.39629,High
-13.14189667,8.396501667,High
-13.14000833,8.398963333,High
-13.13775167,8.401771667,High
-13.136915,8.402815,High
-13.13613167,8.403795,High
-13.13601167,8.403938333,High
-13.135965,8.403988333,High
-13.13592,8.404038333,High
-13.13587333,8.40409,High
-13.13582667,8.404143333,High
-13.23569833,8.485805,High
-13.23965667,8.486328333,High
-13.24056167,8.485701667,High
-13.24077,8.485556667,High
-13.241015,8.485445,High
-13.24106167,8.48542,High
-13.24109167,8.485393333,High
-13.241125,8.485326667,High
-13.24117,8.485231667,High
-13.241175,8.485163333,High
-13.24116667,8.485063333,High
-13.24116167,8.485028333,High
-13.24115333,8.484985,High
-13.24113667,8.484883333,High
-13.24113333,8.484828333,High
-13.241125,8.484725,High
-13.24111333,8.48451,High
-13.24111167,8.484456667,High
-13.2411,8.48429,High
-13.24109667,8.484161667,High
-13.24110167,8.483926667,High
-13.24110333,8.483875,High
-13.24110333,8.483516667,High
-13.24111,8.483505,High
-13.24112333,8.483496667,High
-13.24122667,8.483483333,High
-13.24127833,8.483478333,High
-13.24138,8.483468333,High
-13.24142,8.483465,High
-13.24149167,8.483463333,High
-13.24154333,8.483458333,High
-13.24162333,8.483443333,High
-13.24169,8.483433333,High
-13.24214833,8.483406667,High
-13.242305,8.48341,High
-13.24243833,8.48342,High
-13.24256667,8.483441667,High
-13.24280833,8.483471667,High
-13.24286333,8.483491667,High
-13.243015,8.483558333,High
-13.24306667,8.483578333,High
-13.24312,8.4836,High
-13.24328667,8.483676667,High
-13.243345,8.483696667,High
-13.24368833,8.48381,High
-13.243735,8.483836667,High
-13.24378333,8.483865,High
-13.243835,8.483888333,High
-13.24409667,8.484103333,High
-13.24413667,8.484153333,High
-13.24417667,8.484205,High
-13.24454667,8.484651667,High
-13.24458167,8.48471,High
-13.24474,8.484743333,High
-13.24487833,8.484725,High
-13.24492333,8.484718333,High
-13.24507833,8.484691667,High
-13.24590333,8.484566667,High
-13.24596,8.484555,High
-13.246015,8.484545,High
-13.24610667,8.484525,High
-13.24614,8.484506667,High
-13.24621667,8.484335,High
-13.24624667,8.483876667,High
-13.24627833,8.483161667,High
-13.24628,8.483081667,High
-13.24629167,8.482365,High
-13.24632833,8.481816667,High
-13.24633167,8.48175,High
-13.24633667,8.481635,High
-13.24635833,8.480943333,High
-13.24636,8.480883333,High
-13.24636833,8.480656667,High
-13.24637167,8.4806,High
-13.24638,8.48048,High
-13.24639,8.480235,High
-13.24640667,8.479993333,High
-13.246475,8.478731667,High
-13.24647,8.478678333,High
-13.24627667,8.478681667,High
-13.24624333,8.478685,High
-13.24622,8.47867,High
-13.2462,8.478675,High
-13.24612167,8.478688333,High
-13.24604667,8.478696667,High
-13.24586,8.47871,High
-13.24581167,8.478713333,High
-13.245715,8.478713333,High
-13.243335,8.479161667,High
-13.2432,8.479303333,High
-13.24314667,8.47936,High
-13.24304667,8.479461667,High
-13.24301,8.479505,High
-13.24297167,8.47955,High
-13.24289667,8.47963,High
-13.24268667,8.479848333,High
-13.24242167,8.480135,High
-13.24237667,8.480186667,High
-13.242155,8.480436667,High
-13.24198667,8.480611667,High
-13.24194,8.480658333,High
-13.24189167,8.480703333,High
-13.24185,8.480746667,High
-13.24173667,8.480861667,High
-13.241525,8.48108,High
-13.241375,8.481208333,High
-13.24132833,8.481255,High
-13.24034,8.482231667,High
-13.23986667,8.482645,High
-13.23703833,8.48281,High
-13.235495,8.47824,High
-13.23544333,8.47823,High
-13.23528,8.478201667,High
-13.23522,8.478191667,High
-13.2351,8.478173333,High
-13.23498833,8.478153333,High
-13.23493,8.478141667,High
-13.234575,8.478088333,High
-13.23452,8.47808,High
-13.234405,8.478066667,High
-13.23434833,8.478056667,High
-13.23429167,8.478048333,High
-13.23413333,8.47802,High
-13.23408167,8.47801,High
-13.23391667,8.477985,High
-13.23386,8.477976667,High
-13.23369333,8.477955,High
-13.23363667,8.477948333,High
-13.23352167,8.477938333,High
-13.23346333,8.47793,High
-13.233345,8.47791,High
-13.233285,8.4779,High
-13.23304333,8.47787,High
-13.23266167,8.477825,High
-13.23258,8.477815,High
-13.23228667,8.477793333,High
-13.232105,8.477826667,High
-13.23202333,8.477846667,High
-13.23194667,8.477866667,High
-13.23191,8.477883333,High
-13.22939167,8.477021667,High
-13.22923,8.476983333,High
-13.22915,8.476963333,High
-13.22889833,8.476905,High
-13.22873833,8.47687,High
-13.21785,8.485406667,High
-13.21706833,8.487706667,High
-13.21647167,8.489293333,High
-13.21634,8.489691667,High
-13.21633333,8.489711667,High
-13.216325,8.489733333,High
-13.21631833,8.48977,High
-13.21633167,8.489776667,High
-13.21656833,8.489758333,High
-13.21729833,8.489713333,High
-13.21843,8.489655,High
-13.21895333,8.489613333,High
-13.219015,8.489608333,High
-13.21957167,8.489588333,High
-13.21961333,8.48959,High
-13.22004167,8.489613333,High
-13.22020833,8.489625,High
-13.22116,8.489696667,High
-13.22120833,8.489696667,High
-13.22124667,8.489706667,High
-13.22126333,8.489715,High
-13.22128333,8.489721667,High
-13.22130333,8.489726667,High
-13.22132,8.489728333,High
-13.22135333,8.489736667,High
-13.22142,8.48974,High
-13.22143833,8.489746667,High
-13.22152833,8.489766667,High
-13.22155833,8.489775,High
-13.221575,8.489778333,High
-13.22164833,8.489788333,High
-13.22170333,8.48979,High
-13.22172167,8.489791667,High
-13.22175167,8.489803333,High
-13.221785,8.489811667,High
-13.22182,8.48982,High
-13.22184,8.489823333,High
-13.221875,8.489823333,High
-13.22190667,8.489828333,High
-13.22202167,8.489843333,High
-13.222215,8.489855,High
-13.22224333,8.489858333,High
-13.22232167,8.489853333,High
-13.22238167,8.489833333,High
-13.22248,8.489831667,High
-13.22258667,8.489845,High
-13.22260167,8.489845,High
-13.22261667,8.489845,High
-13.22263,8.489841667,High
-13.22264833,8.489841667,High
-13.22267,8.48984,High
-13.22270833,8.489838333,High
-13.22278,8.489833333,High
-13.222795,8.489831667,High
-13.22286,8.489841667,High
-13.22287667,8.48984,High
-13.22292333,8.489848333,High
-13.22298,8.48985,High
-13.22299667,8.48985,High
-13.22302333,8.489853333,High
-13.22308167,8.489856667,High
-13.223135,8.48986,High
-13.22316833,8.48986,High
-13.223185,8.489856667,High
-13.22325333,8.489858333,High
-13.22328667,8.489858333,High
-13.22330167,8.489856667,High
-13.22338833,8.489846667,High
-13.22340667,8.489846667,High
-13.22342667,8.489848333,High
-13.22346,8.48985,High
-13.22361833,8.489853333,High
-13.22363167,8.489853333,High
-13.22364667,8.489853333,High
-13.22368667,8.489848333,High
-13.22372167,8.489851667,High
-13.22374,8.489851667,High
-13.223755,8.489853333,High
-13.22378833,8.489856667,High
-13.223875,8.489858333,High
-13.22388833,8.489856667,High
-13.2239,8.489856667,High
-13.22391,8.489858333,High
-13.22394333,8.48986,High
-13.22396333,8.48986,High
-13.22398167,8.489861667,High
-13.22405667,8.489866667,High
-13.224075,8.489871667,High
-13.22413667,8.489883333,High
-13.224155,8.489885,High
-13.22417333,8.489883333,High
-13.22424333,8.489885,High
-13.22438333,8.489898333,High
-13.22440167,8.489903333,High
-13.224435,8.489905,High
-13.22445333,8.489905,High
-13.22453333,8.489913333,High
-13.22454667,8.489916667,High
-13.22457833,8.48992,High
-13.22459333,8.489916667,High
-13.224605,8.489915,High
-13.22462,8.489911667,High
-13.22463333,8.489911667,High
-13.22464667,8.489913333,High
-13.224675,8.489915,High
-13.224735,8.489916667,High
-13.22482333,8.489905,High
-13.22484167,8.489898333,High
-13.22487333,8.489891667,High
-13.224905,8.489883333,High
-13.22492,8.48988,High
-13.224935,8.489873333,High
-13.22496,8.489863333,High
-13.22497167,8.489863333,High
-13.224985,8.48986,High
-13.225065,8.489836667,High
-13.22507667,8.489828333,High
-13.22508667,8.489818333,High
-13.22509833,8.489811667,High
-13.22512,8.489801667,High
-13.225155,8.489788333,High
-13.22518333,8.48977,High
-13.22519667,8.489765,High
-13.22520833,8.489758333,High
-13.22523333,8.489745,High
-13.225275,8.489728333,High
-13.22529167,8.489723333,High
-13.22531833,8.489713333,High
-13.22534167,8.489703333,High
-13.22538667,8.489681667,High
-13.22540167,8.489673333,High
-13.225415,8.489668333,High
-13.22547833,8.48962,High
-13.22553833,8.489583333,High
-13.22557,8.489565,High
-13.22558667,8.489556667,High
-13.22560333,8.48955,High
-13.22561833,8.489541667,High
-13.22573833,8.489446667,High
-13.22575167,8.489433333,High
-13.22578,8.48941,High
-13.22580333,8.48939,High
-13.22582167,8.48936,High
-13.22583333,8.489348333,High
-13.22585667,8.489323333,High
-13.22586833,8.489311667,High
-13.22589167,8.489285,High
-13.22591833,8.489263333,High
-13.22595833,8.489225,High
-13.22599667,8.489188333,High
-13.22600667,8.48918,High
-13.22602167,8.489173333,High
-13.22604333,8.489158333,High
-13.22605,8.489151667,High
-13.2261,8.489118333,High
-13.22611,8.489106667,High
-13.22612167,8.489095,High
-13.22614333,8.48907,High
-13.22617833,8.48905,High
-13.226205,8.489023333,High
-13.226215,8.489015,High
-13.22622667,8.489006667,High
-13.22624167,8.488998333,High
-13.22627667,8.488961667,High
-13.22632833,8.488858333,High
-13.22633833,8.488846667,High
-13.22634667,8.488838333,High
-13.22637833,8.488803333,High
-13.22638167,8.48879,High
-13.22638333,8.488778333,High
-13.226395,8.488725,High
-13.22642167,8.48865,High
-13.22643,8.488631667,High
-13.22644167,8.488565,High
-13.226445,8.488546667,High
-13.22647,8.488451667,High
-13.22648,8.48843,High
-13.22649167,8.48841,High
-13.2265,8.488393333,High
-13.22651333,8.488361667,High
-13.22654167,8.48828,High
-13.22656167,8.488188333,High
-13.22655333,8.488178333,High
-13.22648333,8.48814,High
-13.22647167,8.488136667,High
-13.22641,8.488118333,High
-13.22632,8.487935,High
-13.22646167,8.487838333,High
-13.22661333,8.487838333,High
-13.22667667,8.487835,High
-13.22671333,8.487825,High
-13.22675167,8.487815,High
-13.226965,8.487791667,High
-13.227065,8.487796667,High
-13.22714667,8.487823333,High
-13.22720333,8.487858333,High
-13.22731667,8.487891667,High
-13.22764667,8.487958333,High
-13.22767333,8.487971667,High
-13.22771833,8.487985,High
-13.22773667,8.48799,High
-13.227845,8.488013333,High
-13.227945,8.488043333,High
-13.22805,8.488078333,High
-13.22807833,8.488088333,High
-13.228145,8.488108333,High
-13.22823667,8.488145,High
-13.22876667,8.488231667,High
-13.22885,8.48825,High
-13.228865,8.488255,High
-13.22888167,8.48826,High
-13.228905,8.488271667,High
-13.22893167,8.488283333,High
-13.22896,8.488291667,High
-13.22899,8.488291667,High
-13.22915333,8.48835,High
-13.22920333,8.48835,High
-13.22923833,8.488351667,High
-13.22935,8.488368333,High
-13.22938667,8.488375,High
-13.22942167,8.488376667,High
-13.22944667,8.488375,High
-13.22949667,8.488383333,High
-13.22951833,8.488385,High
-13.22956,8.4884,High
-13.22961667,8.488416667,High
-13.229655,8.488426667,High
-13.229675,8.488431667,High
-13.22972333,8.488445,High
-13.22978167,8.48846,High
-13.22981167,8.488466667,High
-13.22984,8.488473333,High
-13.22989667,8.488481667,High
-13.22999333,8.4885,High
-13.230045,8.488506667,High
-13.23006167,8.488501667,High
-13.23007833,8.488498333,High
-13.23015333,8.488503333,High
-13.23023167,8.488516667,High
-13.23024667,8.488516667,High
-13.2305,8.488681667,High
-13.23051,8.488706667,High
-13.23051333,8.488721667,High
-13.23053,8.488741667,High
-13.23059667,8.488825,High
-13.23061333,8.488841667,High
-13.23062167,8.488851667,High
-13.23063833,8.488865,High
-13.23066167,8.488888333,High
-13.23066667,8.488903333,High
-13.23067167,8.488915,High
-13.23070333,8.488968333,High
-13.23070667,8.48898,High
-13.23076333,8.489108333,High
-13.23076833,8.489121667,High
-13.23077833,8.489143333,High
-13.23085,8.489196667,High
-13.23086167,8.489208333,High
-13.230875,8.48922,High
-13.23100167,8.489396667,High
-13.231045,8.489476667,High
-13.23110333,8.48955,High
-13.23115,8.489611667,High
-13.231195,8.489676667,High
-13.23121,8.489703333,High
-13.23128667,8.489833333,High
-13.23130667,8.48986,High
-13.23132667,8.489886667,High
-13.23134833,8.489911667,High
-13.23137,8.489938333,High
-13.23143,8.49002,High
-13.23146833,8.490081667,High
-13.23148667,8.49011,High
-13.23150333,8.490133333,High
-13.23152167,8.490153333,High
-13.23154,8.490171667,High
-13.23156167,8.490186667,High
-13.23158167,8.490198333,High
-13.23166167,8.490258333,High
-13.23168667,8.490315,High
-13.23169833,8.490331667,High
-13.23171,8.490338333,High
-13.23172,8.490345,High
-13.231745,8.490386667,High
-13.23179,8.490465,High
-13.23180833,8.490498333,High
-13.23184833,8.490563333,High
-13.231875,8.49059,High
-13.23191167,8.49063,High
-13.23192167,8.490648333,High
-13.23193333,8.49068,High
-13.23221667,8.491075,High
-13.23224833,8.49111,High
-13.232305,8.491175,High
-13.23233333,8.491213333,High
-13.23236,8.491253333,High
-13.23239167,8.49129,High
-13.232495,8.491421667,High
-13.23260333,8.491441667,High
-13.23263,8.491421667,High
-13.23277333,8.491321667,High
-13.23291833,8.49121,High
-13.23298667,8.491161667,High
-13.23306333,8.49112,High
-13.233135,8.491075,High
-13.23317333,8.491053333,High
-13.23342833,8.490876667,High
-13.23347333,8.490843333,High
-13.23352,8.490811667,High
-13.23366,8.49071,High
-13.23466833,8.48908,High
-13.23432667,8.488591667,High
-13.24099167,8.470966667,High
-13.24102333,8.470953333,High
-13.24114833,8.47091,High
-13.24129167,8.470861667,High
-13.24158333,8.47074,High
-13.24173,8.470675,High
-13.24185667,8.470618333,High
-13.24196333,8.470573333,High
-13.24200333,8.47056,High
-13.24226167,8.470445,High
-13.24228,8.470433333,High
-13.24228333,8.47043,High
-13.24228667,8.470411667,High
-13.24237833,8.470371667,High
-13.24244167,8.470366667,High
-13.24246667,8.470358333,High
-13.24249833,8.470351667,High
-13.24268167,8.470293333,High
-13.24271,8.470283333,High
-13.24273333,8.470275,High
-13.24275667,8.470268333,High
-13.24278167,8.470261667,High
-13.242845,8.470243333,High
-13.24288,8.47023,High
-13.24295333,8.470206667,High
-13.24300667,8.470186667,High
-13.24304667,8.47018,High
-13.24309333,8.470161667,High
-13.24311667,8.470148333,High
-13.243145,8.470136667,High
-13.24318167,8.470125,High
-13.24332667,8.470083333,High
-13.24335667,8.470076667,High
-13.24339,8.470065,High
-13.24342833,8.47005,High
-13.24346667,8.470035,High
-13.243555,8.469998333,High
-13.24369667,8.46995,High
